ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
Dell Precision 3510 i7 6700HQ 8G Card rời AMD 2G,8800000.0,HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,8.0,AMD,256.0,,Bà Rịa - Vũng Tàu,5.0,2.0
HP Probook 430G6 i5-8250U/8/256G/13/3” new 98-99%,6800000.0,HP,ProBook,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Cần Thơ,4.8,26.0
"Macbook pro 2017, chip i5,ram 8g, ssd 128G",8500000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,128.0,Việt Nam,Thái Nguyên,,
Dell Vostro 5459 14inch i3 6100,4000000.0,Dell,Vostro,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i3,6.0,Onboard,256.0,,Tp Hồ Chí Minh,,
Dell inspiron 15 3520 i5 1235U màn 15.6 FHD 120HZ,13555555.0,Dell,Inspiron,Mới,,15.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,5.0,11.0
✅ Acer Asprie E5-571 i5-5200 Ram 8G SSD 128G Tím,5200000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),3.0,15.95,Intel Core i5,8.0,Onboard,128.0,Việt Nam,Bình Dương,,
"Surface Pro 8 Platinum i5, 8GB RAM, 128GB SSD",21450000.0,Microsoft,Surface Pro 8,Mới,9.0,11.95,Intel Core i5,8.0,Onboard,128.0,Trung Quốc,Tp Hồ Chí Minh,,
Dell 7447 i5 RAM 8G có VGA rời likenew 99%,5000000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i5,8.0,NVIDIA,256.0,,Hà Nội,4.2,11.0
✅MSI Ryzen 5-5500 12cpu 8G SSD 512G 98% Nguyên Tem,8200000.0,MSI,CR Series,Mới,4.0,15.95,Ryzen 5,8.0,AMD,512.0,,Bình Dương,4.5,10.0
"🔥 ASUS X450L MÁY ĐẸP GIÁ RẺ, VĂN PHÒNG, HỌC TẬP",5800000.0,Asus,X series,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,Onboard,128.0,,Gia Lai,4.8,4.0
"Học tập Làm việc Giải Trí - HP 434 tốc nhanh, bền",2000000.0,HP,Pavilion,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,4.0,Onboard,500.0,,Đồng Nai,5.0,2.0
LENOVO 320 I5 TH8 8G SSD 256G VGA = GAME+ ĐỒ HOẠ,6500000.0,Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,8.0,NVIDIA,256.0,,Tp Hồ Chí Minh,4.7,4.0
"HP ENVY 15 X360. R5 5625U, RAM 8G, 512G,15.6IN 99%",12600000.0,HP,Envy,Đã sử dụng (chưa sửa chữa),5.0,15.95,Ryzen 5,8.0,Onboard,512.0,,Bình Dương,5.0,21.0
