ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
Dell inspirion 5593 rẻ hơn hãng 1/2,8900000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,8.0,NVIDIA,256.0,,Tp Hồ Chí Minh,3.9,22.0
"Acer nitro 5 card 1650 bao chiến game, máy mát",9300000.0,Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),,15.95,Ryzen 5,8.0,NVIDIA,512.0,,Tp Hồ Chí Minh,3.9,22.0
Laptop MSI Modern 14 B11MOU-1065VN,14000000.0,MSI,Dòng Khác,Đã sử dụng (chưa sửa chữa),7.0,13.95,Intel Core i7,16.0,Onboard,512.0,,Kiên Giang,,
Gaming Legion i5 9300H 16/128/1T GTX 1650,11000000.0,Lenovo,Legion Y Series,Đã sử dụng (chưa sửa chữa),1.0,15.95,Intel Core i5,16.0,NVIDIA,128.0,,Tp Hồ Chí Minh,,22.0
Dell Precision 5540 Màn 4K I7-9850 như mới,17000000.0,Dell,Precision,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,16.0,Khác,512.0,Mỹ,Tp Hồ Chí Minh,4.6,8.0
Dell Precision 3561 i7 11850 RAM 16 SSD 256 HDD 1T,39990000.0,Dell,Precision Mobile Workstations,Mới,,15.95,Intel Core i7,16.0,NVIDIA,256.0,,Tp Hồ Chí Minh,5.0,19.0
"Dell Latitude 5430 i7 1255U, RAM 16 GB, SSD 512 GB",29900000.0,Dell,Latitude,Mới,,13.95,Intel Core i7,16.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,19.0
"Dell Latitude 5430 i5 1245U, RAM 16 GB, SSD 256 GB",25900000.0,Dell,Latitude,Mới,,13.95,Intel Core i5,16.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,19.0
Dell Latitude 5420 i5 1135G7 RAM 8 GB SSD 256 GB,23680000.0,Dell,Latitude,Mới,,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,19.0
"Dell Latitude 7420, i5 1145G7 RAM 16 GB SSD 512 GB",25990000.0,Dell,Latitude,Mới,,13.95,Intel Core i5,16.0,Onboard,512.0,,Tp Hồ Chí Minh,5.0,19.0
